2019.06.18,8:45,Open,High,Low,Close,Volume,Rolling Mean,Bollinger High,Bollinger Low,MA,Market Return,R,Volume Mean,Volume+,Position,Strategy Return,Index Return,rolling_max,daily_drawdown,max_daily_drawdown
2019-12-31,22:45,1.12151,1.12156,1.12149,1.12154,29,,,,,,,,,,,,,,
2020-01-02,6:00,1.12132,1.12134,1.12128,1.12132,61,,,,,-0.000196178,,,,,,,,,
2020-01-02,6:05,1.12132,1.12134,1.12124,1.12133,55,,,,,8.92E-06,,,,,,,,,
2020-01-02,6:10,1.12133,1.12142,1.12132,1.12142,56,,,,,8.03E-05,,,,,,,,,
2020-01-02,6:15,1.12142,1.12143,1.12137,1.12142,87,,,,,0,,,,,,,,,
2020-01-02,6:20,1.12143,1.12143,1.12122,1.12126,68,,,,,-0.000142686,,,,,,,,,
2020-01-02,6:25,1.12126,1.12128,1.12118,1.12122,54,,,,,-3.57E-05,,,,,,,,,
2020-01-02,6:30,1.12122,1.12122,1.12107,1.12118,80,,,,,-3.57E-05,,,,,,,,,
2020-01-02,6:35,1.12117,1.12118,1.12104,1.12106,57,,,,,-0.000107036,,,,,,,,,
2020-01-02,6:40,1.12106,1.12107,1.12089,1.12096,73,,,,,-8.92E-05,,,,,,,,,
2020-01-02,6:45,1.12096,1.12099,1.12075,1.12075,62,,,,,-0.000187357,,,,,,,,,
2020-01-02,6:50,1.12075,1.12075,1.12042,1.12046,71,,,,,-0.000258789,,,,,,,,,
2020-01-02,6:55,1.12046,1.12046,1.12008,1.12011,180,,,,,-0.000312421,,,,,,,,,
2020-01-02,7:00,1.12011,1.12019,1.12008,1.12013,78,,,,,1.79E-05,,,,,,,,,
2020-01-02,7:05,1.12015,1.12028,1.12013,1.12027,56,,,,,0.000124978,,,,,,,,,
2020-01-02,7:10,1.12027,1.12032,1.12011,1.12011,51,,,,,-0.000142833,,,,,,,,,
2020-01-02,7:15,1.12012,1.12028,1.12009,1.12026,90,,,,,0.000133906,,,,,,,,,
2020-01-02,7:20,1.12026,1.12033,1.12026,1.12026,39,,,,,0,,,,,,,,,
2020-01-02,7:25,1.12026,1.12027,1.12012,1.12017,88,,,,,-8.03E-05,,,,,,,,,
2020-01-02,7:30,1.12017,1.12026,1.12011,1.12022,74,,,,,4.46E-05,,,,,,,,,
2020-01-02,7:35,1.12022,1.12029,1.12021,1.12024,31,,,,,1.79E-05,,,,,,,,,
2020-01-02,7:40,1.12024,1.12032,1.12024,1.12029,38,,,,,4.46E-05,,,,,,,,,
2020-01-02,7:45,1.12029,1.1203,1.12018,1.12022,76,,,,,-6.25E-05,,,,,,,,,
2020-01-02,7:50,1.12022,1.12037,1.12022,1.12037,23,,,,,0.000133893,,,,,,,,,
2020-01-02,7:55,1.12037,1.12043,1.12028,1.12043,39,,,,,5.36E-05,,,,,,,,,
2020-01-02,8:00,1.12043,1.12064,1.12042,1.12064,73,,,,,0.00018741,,,,,,,,,
2020-01-02,8:05,1.12064,1.12068,1.12061,1.12063,82,,,,,-8.92E-06,,,,,,,,,
2020-01-02,8:10,1.12063,1.12069,1.12061,1.12067,76,,,,,3.57E-05,,,,,,,,,
2020-01-02,8:15,1.12067,1.12068,1.12054,1.12058,43,,,,,-8.03E-05,,,,,,,,,
2020-01-02,8:20,1.12058,1.12063,1.12053,1.12061,79,,,,,2.68E-05,,,,,,,,,
2020-01-02,8:25,1.1206,1.12062,1.12044,1.12053,76,,,,,-7.14E-05,,,,,,,,,
